Alternanthera philoxeroides
Cabomba caroliniana
Eichhornia crassipes
Elodea nuttallii
Gymnocoronis spilanthoides
Hydrocotyle ranunculoides
Ludwigia grandiflora
Ludwigia peploides
Lysichiton americanus
Myriophyllum aquaticum
Myriophyllum heterophyllum
Pistia stratiotes
Rugulopterix okamurae
Salvinia molesta
Acacia saligna
Ailanthus alissima
Baccharis halimifolia
Hakea sericea
Prosopis juliflora
Triadica sebifera
Andropogon virginicus
Cortaderia jubata
Ehrharta calycina
Microstegium vimineum
Pennisetum setaceum
Cardiospermum grandiflorum
Celastrus orbiculatus
Humulus scandens
Lygodium japonicum
Persicaria perfoliata
Pueraria montana
Asclepias syriaca
Gunnera tinctoria
Heracleum mantegazzianum
Heracleum persicum
Heracleum sosnowskyi
Impatiens glandulifera
Koenigia polystachya
Lespedeza cuneata
Parthenium hysterophorus
Axis axis
Callosciurus erythraeus
Calloscirius finlaysonii
Herpestes javanicus
Muntiacus reevesi
Myocastor coypus
Nasua nasua
Nyctereutes procyonoides
Ondatra zibethicus
Procyon lotor
Sciurus carolinensis
Sciurus niger
Tamias sibiricus
Acridotheres tristis
Corvus splendens
Oxyura jamaicensis 
Pycnonotus cafer
Threskiornis aethiopicus
Lampropeltis getula
Lithobates catesbeianus
Trachemys scripta
Xenopus laevis
Ameirus melas
Channa argus
Fundulus heteroclitus
Gambusia affinis
Gambusia holbrookii
Lepomis gibbosus
Morone americana
Perccottus glenii
Pseudorasbora parva
Plotosus lineatus
Arthurdendyus triangulatus
Eriocheir sinensis
Faxonius rusticus
Faxionus limosus
Faxionus virilis
Limnoperna fortunei
Pacifastacus leniusculus
Procambarus clarkii
Procambarus fallax f. virginalis
Solenopsis geminata
Solenopsis invicta
Solenopsis richteri
Vespa velutina nigrithorax
Wasmannia auropunctata
Cipangopaludina chinensis
